Date;Open;High;Low;Close;Volume
2017.08.25  20:00:00;140.672;140.850;140.582;140.763;22605
2017.08.28  00:00:00;140.983;141.178;140.596;140.718;13812
2017.08.28  04:00:00;140.718;140.733;140.425;140.531;11472
2017.08.28  08:00:00;140.532;140.904;140.466;140.888;17448
2017.08.28  12:00:00;140.889;141.284;140.770;141.157;16176
2017.08.28  16:00:00;141.158;141.295;141.012;141.207;21103
2017.08.28  20:00:00;141.206;141.400;141.062;141.290;12706
2017.08.29  00:00:00;141.238;141.290;139.993;140.761;28115
2017.08.29  04:00:00;140.760;140.857;140.535;140.835;17977
2017.08.29  08:00:00;140.833;141.075;140.527;140.567;37147
2017.08.29  12:00:00;140.565;140.887;140.402;140.597;33854
2017.08.29  16:00:00;140.598;141.186;140.396;141.092;42976
2017.08.29  20:00:00;141.096;141.988;141.057;141.668;24077
2017.08.30  00:00:00;141.598;142.028;141.538;141.946;14057
2017.08.30  04:00:00;141.947;141.971;141.800;141.901;14487
2017.08.30  08:00:00;141.902;142.223;141.870;141.969;28646
2017.08.30  12:00:00;141.971;142.394;141.792;142.178;28852
2017.08.30  16:00:00;142.178;142.628;142.135;142.626;35439
2017.08.30  20:00:00;142.622;142.763;142.438;142.520;19322
2017.08.31  00:00:00;142.520;142.773;142.418;142.630;18131
2017.08.31  04:00:00;142.631;142.892;142.565;142.794;17409
2017.08.31  08:00:00;142.795;142.888;142.389;142.461;25915
2017.08.31  12:00:00;142.462;142.566;142.067;142.237;30084
2017.08.31  16:00:00;142.236;142.265;141.539;142.013;39363
2017.08.31  20:00:00;142.013;142.305;141.972;142.154;19934
2017.09.01  00:00:00;141.850;142.557;141.850;142.504;13311
2017.09.01  04:00:00;142.504;142.558;142.163;142.192;10528
2017.09.01  08:00:00;142.191;142.348;142.092;142.268;18272
2017.09.01  12:00:00;142.268;142.935;142.139;142.699;31092
2017.09.01  16:00:00;142.696;142.996;142.578;142.864;44655
2017.09.01  20:00:00;142.861;142.904;142.696;142.822;18593
2017.09.04  00:00:00;141.908;142.483;141.872;142.268;14119
2017.09.04  04:00:00;142.272;142.316;142.160;142.208;13732
2017.09.04  08:00:00;142.208;142.220;141.577;141.641;26541
2017.09.04  12:00:00;141.639;142.209;141.632;142.078;17508
2017.09.04  16:00:00;142.076;142.076;141.568;141.702;17072
2017.09.04  20:00:00;141.700;141.799;141.559;141.763;19663
2017.09.05  00:00:00;141.763;141.917;141.574;141.599;11334
2017.09.05  04:00:00;141.598;141.607;141.175;141.408;21247
2017.09.05  08:00:00;141.406;141.554;141.219;141.423;27573
2017.09.05  12:00:00;141.422;141.811;141.335;141.712;26344
2017.09.05  16:00:00;141.712;141.888;141.499;141.549;43022
2017.09.05  20:00:00;141.549;141.836;141.346;141.717;24946
2017.09.06  00:00:00;141.747;141.800;141.477;141.624;17478
2017.09.06  04:00:00;141.623;141.777;141.543;141.635;14181
2017.09.06  08:00:00;141.636;141.869;141.354;141.739;22291
2017.09.06  12:00:00;141.740;142.138;141.411;142.041;29509
2017.09.06  16:00:00;142.040;142.530;142.003;142.397;43042
2017.09.06  20:00:00;142.394;142.669;142.389;142.545;22708
2017.09.07  00:00:00;142.545;142.545;142.163;142.369;12551
2017.09.07  04:00:00;142.364;142.463;142.220;142.256;15018
2017.09.07  08:00:00;142.254;142.364;142.056;142.363;24166
2017.09.07  12:00:00;142.364;142.617;142.145;142.419;33821
2017.09.07  16:00:00;142.415;142.666;141.471;141.799;49566
2017.09.07  20:00:00;141.795;142.205;141.706;142.146;20896
2017.09.08  00:00:00;142.146;142.146;141.725;141.943;13307
2017.09.08  04:00:00;141.944;142.145;141.846;141.912;24387
2017.09.08  08:00:00;141.906;141.928;141.332;141.499;41516
2017.09.08  12:00:00;141.499;142.290;141.415;142.151;33253
2017.09.08  16:00:00;142.151;142.532;142.123;142.242;39807
2017.09.08  20:00:00;142.243;142.382;142.077;142.217;18716
2017.09.11  00:00:00;142.590;143.034;142.531;142.932;15238
2017.09.11  04:00:00;142.931;143.042;142.718;142.751;15989
2017.09.11  08:00:00;142.750;143.197;142.682;143.025;24658
2017.09.11  12:00:00;143.025;143.668;142.931;143.458;25035
2017.09.11  16:00:00;143.460;143.855;143.457;143.746;30325
2017.09.11  20:00:00;143.746;144.152;143.743;144.145;14899
2017.09.12  00:00:00;143.971;144.233;143.885;144.177;11183
2017.09.12  04:00:00;144.176;144.186;143.996;144.093;9995
2017.09.12  08:00:00;144.094;145.571;144.082;145.550;47228
2017.09.12  12:00:00;145.550;145.957;145.355;145.749;32985
2017.09.12  16:00:00;145.748;146.256;145.357;146.067;32999
2017.09.12  20:00:00;146.065;146.540;146.010;146.302;18244
2017.09.13  00:00:00;146.302;146.580;146.176;146.335;15701
2017.09.13  04:00:00;146.331;146.594;146.294;146.549;13354
2017.09.13  08:00:00;146.549;146.659;145.938;146.093;21480
2017.09.13  12:00:00;146.094;146.208;145.747;146.140;22571
2017.09.13  16:00:00;146.136;146.466;145.969;146.104;32065
2017.09.13  20:00:00;146.105;146.124;145.645;145.900;20399
2017.09.14  00:00:00;145.900;146.127;145.826;146.025;10764
2017.09.14  04:00:00;146.023;146.230;145.784;145.846;16093
2017.09.14  08:00:00;145.846;146.045;145.724;145.736;24785
2017.09.14  12:00:00;145.738;148.128;145.162;147.645;43343
2017.09.14  16:00:00;147.644;148.344;147.614;148.247;38329
2017.09.14  20:00:00;148.247;148.329;147.522;147.649;20428
2017.09.15  00:00:00;147.635;147.747;146.608;147.486;26101
2017.09.15  04:00:00;147.486;147.932;147.419;147.891;14594
2017.09.15  08:00:00;147.889;149.831;147.884;149.813;31539
2017.09.15  12:00:00;149.813;151.544;149.725;150.311;48829
2017.09.15  16:00:00;150.317;151.110;150.153;150.382;39359
2017.09.15  20:00:00;150.385;150.800;150.353;150.607;18048
2017.09.18  00:00:00;150.540;151.051;150.532;151.031;11248
2017.09.18  04:00:00;151.027;151.246;150.988;151.070;11199
2017.09.18  08:00:00;151.068;151.514;150.770;151.009;25055
2017.09.18  12:00:00;151.009;151.121;150.517;151.012;28081
2017.09.18  16:00:00;151.013;151.269;150.142;150.416;37910
2017.09.18  20:00:00;150.418;150.668;150.283;150.540;19463
2017.09.19  00:00:00;150.540;150.798;150.360;150.660;17751
2017.09.19  04:00:00;150.664;151.166;150.594;151.065;16682
2017.09.19  08:00:00;151.065;151.590;150.326;150.344;31339
2017.09.19  12:00:00;150.345;151.000;150.298;150.742;32597
2017.09.19  16:00:00;150.742;150.903;150.130;150.733;35880
2017.09.19  20:00:00;150.733;150.968;150.492;150.666;16291
2017.09.20  00:00:00;150.666;150.919;150.424;150.732;12368
2017.09.20  04:00:00;150.731;150.875;150.592;150.592;14324
2017.09.20  08:00:00;150.590;151.518;150.489;151.059;23654
2017.09.20  12:00:00;151.060;151.183;150.461;150.796;25297
2017.09.20  16:00:00;150.795;151.425;150.686;151.289;28898
2017.09.20  20:00:00;151.290;152.168;151.175;151.402;47946
2017.09.21  00:00:00;151.402;151.979;151.369;151.744;19242
2017.09.21  04:00:00;151.747;151.839;151.583;151.655;17877
2017.09.21  08:00:00;151.654;152.250;151.453;151.519;30878
2017.09.21  12:00:00;151.520;151.838;151.467;151.700;28973
2017.09.21  16:00:00;151.703;152.626;151.502;152.607;40295
2017.09.21  20:00:00;152.606;152.854;152.587;152.663;17363
2017.09.22  00:00:00;152.663;152.760;152.096;152.364;10531
2017.09.22  04:00:00;152.362;152.417;151.631;151.846;23002
2017.09.22  08:00:00;151.846;152.334;151.751;152.021;32120
2017.09.22  12:00:00;152.021;152.254;151.599;152.141;32017
2017.09.22  16:00:00;152.141;152.199;150.961;151.675;40524
2017.09.22  20:00:00;151.676;151.707;150.658;151.062;16149
2017.09.25  00:00:00;151.322;152.244;151.206;152.137;10072
